0 6.432522649374791e+00 7.522396515323371e+00 6.977459582349081e+00
1 4.321327552879978e+00 8.996477654988279e+00 6.658902603934129e+00
2 8.301282117491862e+00 1.135604931062259e+01 9.828665714057225e+00
3 8.720514684620614e+00 1.148384183267342e+01 1.010217825864702e+01
4 8.838006908858985e+00 1.152343268116860e+01 1.018071979501379e+01
5 8.872995213731151e+00 1.153464017495353e+01 1.020381769434234e+01
6 8.883676234326773e+00 1.153805438209520e+01 1.021086530821099e+01
7 8.886946133628255e+00 1.153909602444156e+01 1.021302107903490e+01
8 8.887945432453558e+00 1.153941465072566e+01 1.021368004158961e+01
9 8.888251563160507e+00 1.153951198827428e+01 1.021388177571739e+01
10 8.888345763186733e+00 1.153954174419580e+01 1.021394375369126e+01
