kpoint	source_band	reference_band	dominant_amplitude	phase_residual	eigenvalue_difference_ha
3	22	23	9.53524378396990668e-01	1.18210331129855062e+00	1.34451264166557394e-06
3	23	22	9.53524378396988781e-01	1.18210331130159441e+00	1.34459665757091784e-06
3	24	24	1.00000000000111533e+00	1.18802402324269458e-08	1.43769920679659435e-06
3	25	25	1.00000000000115663e+00	7.94770612709599673e-09	2.10263056477089094e-06
4	0	0	1.00000000000000022e+00	2.17515274327986841e-08	-6.37669431979848156e-08
4	1	1	1.00000000000000067e+00	1.87101599199263837e-08	3.27231260005556024e-08
4	2	2	7.91607531643651274e-01	6.45588828966333961e-01	7.59736581146253087e-08
4	3	3	7.91607531643650275e-01	6.45588828964164918e-01	7.59749925194341813e-08
4	4	4	1.00000000000000089e+00	2.52770680221759947e-08	1.15801575162333137e-07
4	5	5	9.21820262133077772e-01	3.95423160087157666e-01	1.35926669808661416e-07
4	6	6	9.21820262133076440e-01	3.95423160130412399e-01	1.35936746470388670e-07
4	7	7	1.00000000000000711e+00	1.03618788355183743e-08	1.84331343633381550e-07
4	8	9	7.68778040556797437e-01	8.49098704288437367e-01	1.96916529304758114e-07
4	9	8	7.68778040556797215e-01	8.49098704121680203e-01	1.96925941997605491e-07
4	10	10	9.99999999999995448e-01	2.10696022349927260e-08	2.64879853051347425e-07
4	11	11	9.99999999999999556e-01	1.87875761492608072e-08	3.06288444273938865e-07
4	12	13	9.89738294335567259e-01	1.30928075731519278e+00	3.10484051357917679e-07
4	13	12	9.89738294335568147e-01	1.30928075735781935e+00	3.10579816087397376e-07
4	14	14	8.17331641263076003e-01	6.04430903391972807e-01	3.94084398891436649e-07
4	15	15	8.17331641263075337e-01	6.04430903289567167e-01	3.94416284521525995e-07
4	16	16	9.99999999999992117e-01	3.33554385643925488e-08	4.20337460838027255e-07
4	17	18	7.28658099714558860e-01	7.93879544392142034e-01	4.53074650019757996e-07
4	18	17	7.28658099714559415e-01	7.93879544454129671e-01	4.53262476884930265e-07
4	19	19	1.00000000000000666e+00	2.79924537893414627e-08	5.84302878303688544e-07
4	20	20	9.33220298012867433e-01	3.65457800370848962e-01	7.98968341708672369e-07
4	21	21	9.33220298012864768e-01	3.65457800370145136e-01	7.99443299559499110e-07
4	22	23	9.44782230383619859e-01	1.15956987579454029e+00	1.34451273980928931e-06
4	23	22	9.44782230383619304e-01	1.15956987579751569e+00	1.34459672285203169e-06
4	24	24	1.00000000000117995e+00	1.18802436750234876e-08	1.43769915172953233e-06
4	25	25	1.00000000000113731e+00	7.94770542259396180e-09	2.10263063227245084e-06
5	0	0	9.99999999999998002e-01	1.41632834676430951e-08	-5.98605641444205361e-08
5	1	1	9.99999999999999112e-01	2.79028349864984136e-09	3.78068818612797841e-08
5	2	3	7.50735226340416339e-01	8.23889283422081009e-01	6.08834652693346357e-08
5	3	2	7.50735226340416006e-01	8.23889283422080454e-01	6.08834665738466896e-08
5	4	4	9.99999999999999334e-01	9.10323727966468783e-09	1.03367773396367824e-07
5	5	5	1.00000000000000022e+00	1.01826939277666823e-08	1.40033600160016647e-07
5	6	7	7.44553482926085142e-01	8.15398285444288384e-01	1.64729168250499214e-07
5	7	6	7.44553482926085364e-01	8.15398285444293935e-01	1.64729168306010365e-07
5	8	8	1.00000000000000688e+00	1.04312692546407081e-08	2.04799593617188691e-07
5	9	9	9.99999999999998002e-01	2.79204851833726552e-14	2.18849710797996977e-07
5	10	10	9.99999999999994227e-01	1.88714439949649350e-08	2.83344638640770086e-07
5	11	11	9.81377605247148233e-01	1.92989091088622611e-01	2.92502018717222256e-07
5	12	12	9.81377605247147788e-01	1.92989091088628661e-01	2.92502017495976929e-07
5	13	13	1.00000000000000044e+00	1.31538268310480730e-08	3.46329378286824863e-07
5	14	14	9.99999999999999667e-01	4.51633120350958697e-14	3.71406685628627997e-07
5	15	15	9.99999999999996225e-01	1.06583885921346704e-08	3.90634860680805218e-07
5	16	16	9.87626679163357446e-01	1.57310653153618196e-01	4.25397583381226241e-07
5	17	17	9.87626679163355670e-01	1.57310653153623997e-01	4.25397584713493870e-07
5	18	18	9.99999999999995781e-01	8.01558498606733257e-09	4.60716258920967903e-07
5	19	19	9.86514887790170270e-01	1.64226137964556262e-01	6.00455985599879227e-07
5	20	20	9.86514887790170714e-01	1.64226137964559343e-01	6.00455985599879227e-07
5	21	21	9.99999999999996891e-01	1.00346533133806941e-09	7.97875065572384301e-07
5	22	22	1.00000000000027267e+00	7.54658666360803931e-10	1.04354029861752906e-06
5	23	23	1.00000000000169664e+00	2.48653198368189632e-10	1.53417443460313052e-06
5	24	24	9.99919022049207351e-01	1.27261895933881604e-02	1.69897433366372752e-06
5	25	25	9.99919022049209683e-01	1.27261895933890225e-02	1.69897433810461962e-06
6	0	0	9.99999999999998890e-01	1.49322172069038371e-09	-3.82134368315245609e-08
6	1	1	9.99999999999998890e-01	5.20604986840319759e-09	-1.67296985726511638e-11
6	2	2	9.99999999999999112e-01	1.14838689160662976e-08	3.82696271478133454e-08
6	3	3	9.99999999999999778e-01	2.73545632764921181e-09	5.66343085206533203e-08
6	4	4	1.00000000000000022e+00	1.35751245896893202e-08	1.11439382055600333e-07
6	5	5	1.00000000000000111e+00	2.20865716194684934e-08	1.53139626091203240e-07
6	6	6	1.00000000000000111e+00	1.09056477788454684e-08	1.67368880699125810e-07
6	7	7	9.99999999999999667e-01	2.21739223477170773e-09	1.71067014720360788e-07
6	8	8	1.00000000000000067e+00	1.02604502808555881e-08	2.34564087375765951e-07
6	9	9	9.99999999999999112e-01	1.00932315559282694e-08	2.41043642157379168e-07
6	10	10	1.00000000000000222e+00	8.51943942656219999e-09	2.68647055601256568e-07
6	11	11	9.99999999999999667e-01	2.83374670081197439e-09	2.68816623849588154e-07
6	12	12	1.00000000000000000e+00	1.50656379916471181e-08	3.40941484933132699e-07
6	13	13	9.99999999999999223e-01	1.13414247998206261e-08	3.45721438366197731e-07
6	14	14	9.99999999999999778e-01	4.83878286348703905e-09	3.53724386892295684e-07
6	15	15	9.99999999999999223e-01	1.82678648688454269e-08	3.66701022880278060e-07
6	16	16	9.99999999999996003e-01	1.26282560834066159e-08	3.89724089888687786e-07
6	17	17	1.00000000000000089e+00	2.21766937170555616e-08	4.21406201711604922e-07
6	18	18	1.00000000000000000e+00	2.11460759074565061e-09	4.36972626749465576e-07
6	19	19	9.99999999999988898e-01	5.84163149308868790e-09	5.01945859543440065e-07
6	20	20	9.99999999999998557e-01	4.86582564012902813e-09	5.81640456909227055e-07
6	21	21	9.99999999999973355e-01	2.56480902353598616e-08	6.22458665278102785e-07
